id,gene_name,gene_id_ensembl101,gene_type,entrez_id
ENSG00000167768,KRT1,ENSG00000167768,protein_coding,3848
ENSG00000280159,AC016583.1,ENSG00000280159,TEC,
ENSG00000235240,AC026185.1,ENSG00000235240,unprocessed_pseudogene,
ENSG00000264172,PDLIM1P3,ENSG00000264172,processed_pseudogene,100419427
ENSG00000199903,RNU6-1273P,ENSG00000199903,snRNA,106481947
ENSG00000200058,RNA5SP218,ENSG00000200058,rRNA_pseudogene,100873478
ENSG00000275358,AL080312.2,ENSG00000275358,lncRNA,
ENSG00000218358,RAET1K,ENSG00000218358,transcribed_unprocessed_pseudogene,646024
ENSG00000266460,AC021506.1,ENSG00000266460,lncRNA,
ENSG00000260371,AC026464.3,ENSG00000260371,protein_coding,
ENSG00000264091,,,,
ENSG00000238921,,,,
ENSG00000274815,,,,
ENSG00000269349,AC022150.3,ENSG00000269349,lncRNA,
ENSG00000200291,,,,
ENSG00000233614,DDX11L10,ENSG00000233614,transcribed_unprocessed_pseudogene,100287029
ENSG00000022567,SLC45A4,ENSG00000022567,protein_coding,57210
ENSG00000241670,,,,
ENSG00000278933,AC022743.1,ENSG00000278933,TEC,
ENSG00000202175,RNA5SP128,ENSG00000202175,rRNA_pseudogene,100873398
ENSG00000120662,MTRF1,ENSG00000120662,protein_coding,9617
ENSG00000235523,AL135924.2,ENSG00000235523,lncRNA,
ENSG00000249848,AC112673.1,ENSG00000249848,processed_pseudogene,
ENSG00000277826,AL157858.2,ENSG00000277826,misc_RNA,
ENSG00000230225,MTND5P14,ENSG00000230225,unprocessed_pseudogene,100873258
ENSG00000239877,IGSF11-AS1,ENSG00000239877,lncRNA,100506765
ENSG00000201398,,,,
ENSG00000281474,,,,
ENSG00000272905,AC018648.1,ENSG00000272905,lncRNA,
ENSG00000259952,AC009133.2,ENSG00000259952,lncRNA,
ENSG00000260812,RARRES2P7,ENSG00000260812,processed_pseudogene,106481660
ENSG00000225630,MTND2P28,ENSG00000225630,unprocessed_pseudogene,100652939
ENSG00000230231,FMO7P,ENSG00000230231,unprocessed_pseudogene,100337589
ENSG00000164283,ESM1,ENSG00000164283,protein_coding,11082
ENSG00000231880,KF459542.1,ENSG00000231880,lncRNA,
ENSG00000227489,AC006458.1,ENSG00000227489,lncRNA,
ENSG00000254555,AP003730.1,ENSG00000254555,processed_pseudogene,
ENSG00000013392,RWDD2A,ENSG00000013392,protein_coding,112611
ENSG00000258279,LINC00592,ENSG00000258279,lncRNA,283404
ENSG00000226688,ENTPD1-AS1,ENSG00000226688,lncRNA,728558
ENSG00000250929,LINC01181,ENSG00000250929,lncRNA,379034
ENSG00000204581,ACOXL-AS1,ENSG00000204581,lncRNA,400997
ENSG00000225620,AC104463.1,ENSG00000225620,lncRNA,
ENSG00000258477,PPIAP6,ENSG00000258477,processed_pseudogene,319128
ENSG00000225488,AC092447.4,ENSG00000225488,lncRNA,
ENSG00000184178,SCFD2,ENSG00000184178,protein_coding,152579
ENSG00000237786,GFOD1-AS1,ENSG00000237786,lncRNA,100874025
